school_name,school_id,filipino,math,english,science,ap,all_subjects
Abelardo G. Tinio ES,107022,26.13,19.81,20.86,17.48,21.01,105.3
Angeles ES,107023,30.7,26.91,27.4,25.97,26.07,137.05
Belen Homesite ES,107024,29.72,30.39,27.94,25.28,29.06,142.39
Cutud ES,107025,32.75,34.7,35.41,27.44,35.73,166.03
Don Ambrosio Mendiola ES,107026,34.03,28.53,32.66,30.38,27.22,152.81
Dr. Clemente N. Dayrit Sr. ES,107027,29.28,28.45,28.11,17.56,29.12,132.51
Enrica Sandico ES,107028,32.76,37.1,36.21,33.64,32.54,172.25
EPZA Resettlement ES,107029,25.86,32.28,27.84,24.41,23.54,133.93
Mining ES,107030,35.13,35.0,32.96,30.65,30.87,164.61
Pandan ES,107031,30.62,31.85,34.34,27.51,33.37,157.7
Pineda Gutierrez ES,107032,26.72,16.6,16.89,16.55,16.39,93.14
Pulung Cacutud ES,107033,30.29,26.72,26.08,23.05,20.56,126.7
Pulungbulu ES,107034,30.26,26.49,26.57,25.52,23.92,132.76
Salapungan ES,107035,25.6,18.04,17.17,17.06,19.0,96.87
San Ignacio Es,107036,29.03,20.48,23.06,21.81,23.74,118.13
Sapalibutad ES,107037,24.09,14.53,14.71,13.83,15.19,82.36
Alberto G. Pabalan ES,107038,26.85,23.48,23.54,23.44,25.05,122.36
Edilberto M. Ganzon ES,107040,27.61,28.01,27.62,25.04,27.69,135.97
Gueco Balibago ES,107041,28.04,23.46,21.92,22.34,24.36,120.12
Marisol Bliss ES,107043,22.23,28.1,24.07,24.82,25.54,124.77
Sapangbato ES,107044,29.83,33.49,33.85,30.95,30.88,158.99
Sitio Target ES,107045,30.93,29.21,29.36,23.64,23.21,136.36
Sitio Pader ES,107046,30.34,28.27,26.16,19.0,26.9,130.68
Sta. Maria ES,107047,28.63,30.36,30.78,27.56,30.64,147.97
Sta. Teresita ES,107048,31.98,36.19,34.32,33.41,32.55,168.45
Tacondo ES,107049,35.99,33.42,33.84,34.88,33.06,171.18
Teodoro P. Tinio ES,107050,26.2,21.73,22.42,21.01,18.65,110.01
Virgen delos Remedios ES,107051,28.45,23.93,23.84,16.73,22.72,115.66
Apung Guidang Nepomuceno ES,107052,33.69,35.08,33.59,31.36,31.14,164.86
Cuayan ES,107053,30.12,25.92,24.29,26.67,25.17,132.17
Cutcut ES,107054,23.24,19.25,15.98,18.21,21.18,97.85
Don Pepe Henson MS,107055,26.42,22.97,25.94,24.84,24.77,124.94
Leoncia Village ES,107056,30.0,34.07,31.78,33.96,30.67,160.48
Lourdes Norhtwest ES,107057,31.49,29.01,27.83,25.88,24.84,139.04
M. Nepomuceno ES,107058,27.77,18.9,23.56,21.57,21.77,113.57
Pampang ES,107059,34.28,33.75,31.38,30.78,28.26,158.45
Sto. Rosario ES,107061,34.61,31.82,32.41,31.29,25.76,155.89
Airforce City ES,161001,26.07,18.76,19.14,16.69,20.1,100.76
A.V. Mijares ES,104408,32.44,33.26,29.23,30.08,29.97,154.98
Baler CS,104409,32.37,34.47,34.81,31.16,29.94,162.74
Calabuanan ES,104410,30.31,34.12,36.09,26.43,29.51,156.46
Carmen T. Valenzuela ES,104411,27.13,29.05,25.4,27.75,24.02,133.35
Diego Ortiz ES,104412,31.25,28.54,30.29,27.25,24.43,141.75
Ruperto P. Zubia Sr. ES,104416,27.04,31.52,29.91,30.05,30.77,149.28
Setan ES,104417,27.71,30.29,26.43,23.86,30.07,138.36
Suklayin ES,104418,30.08,32.8,25.17,27.66,26.08,141.78
Bianoan ES,104420,25.15,14.01,15.41,13.94,16.36,84.87
Calabgan - Ditinagyan ES,104421,25.91,21.71,22.88,19.06,21.53,111.09
Calantas ES,104422,29.65,28.94,31.76,25.35,30.06,145.76
Casiguran CS,104423,32.48,31.04,28.8,27.96,25.19,145.48
Dibacong ES,104424,29.76,32.63,29.13,28.52,29.29,149.33
Dibet ES,104425,27.26,21.32,19.16,16.37,18.05,102.16
Dumaguipo ES,104426,29.79,34.36,29.71,27.43,29.14,150.43
Francisco Benitez ES,104427,29.0,26.0,23.85,25.31,26.31,130.46
M. Esteves ES,104428,25.25,16.43,15.18,12.71,19.43,89.0
San Ildefonso ES,104429,23.11,17.21,14.05,14.21,18.68,87.26
Tinib - Calangcuasan ES,104430,33.37,36.77,32.34,31.0,33.23,166.71
Camilo Osias ES,104431,32.49,33.23,32.51,34.57,31.49,164.29
Diagyan ES,104432,25.81,28.83,22.75,27.19,29.55,134.13
Dicabasan ES,104433,24.68,28.0,25.77,28.0,27.05,133.5
Dilaguidi ES,104434,35.18,31.71,36.65,30.18,32.88,166.59
Dilasag CS,104435,32.67,27.27,28.57,31.05,29.62,149.18
Dimaseset ES,104436,29.87,24.8,23.63,30.57,22.73,131.6
Diniog ES,104437,34.2,33.93,29.3,31.0,31.41,159.85
Kasaysayan ES,104438,30.31,28.38,30.23,24.31,29.69,142.92
Lawang ES,104439,25.5,20.0,17.5,15.75,19.75,98.5
Manggitahan ES,104440,30.43,32.51,33.22,24.18,31.2,151.55
Pedro Orata ES,104441,31.71,32.29,31.14,29.14,29.57,153.86
Ura ES,104442,36.67,32.86,32.29,31.14,30.62,163.57
Ditawini ES,104446,30.8,35.85,32.95,30.9,32.5,163.0
Mapalad ES,104447,29.53,31.73,28.2,30.87,30.73,151.07
Emeterio Inocillas ES,104448,29.65,28.87,32.48,23.74,27.3,142.04
Paleg ES,104449,31.16,32.42,30.05,26.32,23.79,143.74
Paulino L. Bautista ES,104450,30.97,30.51,30.03,29.15,28.9,149.56
Abungan ES,104451,34.13,31.38,30.5,32.25,31.5,159.75
Cabog ES,104452,33.53,31.17,31.25,26.31,28.75,151.0
Caragsacan ES,104453,31.35,32.84,27.19,23.78,22.24,137.41
Dikapanikian ES,104454,27.88,23.88,19.13,21.0,27.25,119.13
Dingalan CS,104455,34.03,36.09,22.69,27.14,30.87,150.82
Ibona ES,104457,27.02,33.74,30.23,29.23,19.98,140.21
Malamig ES,104458,27.0,23.24,25.53,25.18,25.0,125.94
Matawe ES,104459,28.06,21.54,22.42,24.12,20.91,117.05
Paltic ES,104460,34.88,33.55,32.06,34.12,28.46,163.07
Singawan ES,104461,29.56,24.56,29.56,22.56,26.67,132.89
Umiray ES,104462,30.01,29.58,28.45,28.9,27.45,144.39
Bayabas ES,104463,28.06,28.69,19.44,21.75,22.38,120.31
Borlongan ES,104464,23.13,21.91,12.68,20.26,14.87,92.85
Calaocan ES,104465,24.57,17.86,19.21,22.86,23.29,107.79
Dianed ES,104466,24.05,21.71,21.76,18.33,19.19,105.05
Diarabasin ES,104467,25.07,28.39,23.93,19.17,22.13,118.7
Dibutunan ES,104468,28.33,30.4,25.93,28.27,24.87,137.8
Dinadiawan ES,104469,29.0,28.04,22.26,22.57,26.65,128.52
Dipaculao CS,104470,30.49,29.09,28.77,26.71,27.84,142.9
Ditale ES,104471,31.9,31.29,30.1,26.84,30.13,150.26
Gupa ES,104472,23.38,24.46,16.31,14.54,21.69,100.38
Ipil ES,104473,26.26,32.04,20.48,16.74,25.43,120.96
Lipit ES,104475,27.7,26.7,22.15,10.0,24.4,110.95
Maligaya ES,104476,33.21,34.64,28.21,26.93,27.93,150.93
Mijares ES,104477,29.43,27.14,28.43,26.38,27.19,138.57
Mucdol ES,104478,33.03,34.07,30.14,26.83,27.34,151.41
Puangi ES,104479,30.17,29.31,23.56,23.5,25.47,132.0
Emeterio M. Quirino ES,104480,33.71,32.48,27.45,28.13,30.32,152.1
T.A. Molina Sr. ES,104482,26.19,20.38,17.31,17.31,20.31,101.5
Toytoyan ES,104483,31.69,27.38,27.38,28.31,25.0,139.75
Bagtu ES,104484,29.81,30.05,21.43,22.71,26.43,130.43
M.R. Necesito Sr. MES,104485,29.8,35.2,29.6,23.0,26.2,143.8
Leon B Hulipas ES,104486,31.67,34.73,30.13,29.2,31.27,157.0
Bazal ES,104487,32.93,37.28,34.38,33.41,32.28,170.28
Cabituculan East ES,104488,36.41,30.41,32.97,36.22,32.86,168.86
Calao ES,104489,33.18,36.06,30.0,32.53,32.65,164.41
Debucao ES,104490,24.78,27.87,20.78,25.17,23.3,121.91
Detailen ES,104492,25.28,27.5,23.17,23.0,29.5,128.44
Diaat ES,104493,33.62,26.31,33.81,27.62,34.54,155.88
B.R. Dulay MES,104494,30.63,30.38,25.0,26.13,28.0,140.13
Dikildit ES,104495,29.82,36.04,31.93,30.82,28.0,156.61
Dimanpudso ES,104496,36.07,33.45,34.72,33.52,35.05,172.81
Dimotol ES,104497,29.43,24.93,19.0,21.64,26.07,121.07
Diome ES,104498,36.78,37.96,31.39,31.3,31.43,168.87
Estonilo ES,104499,31.11,33.05,30.05,24.63,25.26,144.11
Francisco Q. Dagyapen MES,104500,34.61,35.78,32.57,31.65,30.0,164.61
Galintuja ES,104501,34.92,35.38,34.46,29.54,29.92,164.23
Kadayakan ES,104502,35.47,33.51,31.69,31.29,30.68,162.64
Leon Diaz Sr. ES,104503,33.89,29.86,32.64,27.61,37.7,161.7
Maria Aurora CS,104504,36.92,35.04,34.09,32.67,34.21,172.93
Punglo ES,104505,34.67,39.78,29.78,23.89,30.67,158.78
Quirino ES,104506,32.08,36.44,32.86,32.17,31.86,165.42
San Jose ES,104507,29.44,28.53,20.88,30.09,17.91,126.84
San Juan ES,104508,32.1,34.38,33.21,29.52,25.0,154.21
San Leonardo ES,104509,27.08,31.42,24.83,19.67,26.42,129.42
Suguit ES,104510,28.5,33.88,21.19,23.0,31.88,138.44
Villa Aurora ES,104511,31.14,26.93,25.07,27.29,27.71,138.14
Wenceslao ES,104512,28.0,33.94,24.67,14.22,23.33,124.17
Bacong ES,104513,31.2,33.1,30.5,26.5,31.8,153.1
Dibayabay ES,104514,24.42,22.5,20.17,22.42,20.92,110.42
Dibut ES,104515,25.2,24.75,23.2,22.25,23.45,118.85
Dikapinisan ES,104516,25.05,31.34,29.84,28.64,28.59,143.47
Dimanayat ES,104517,29.04,26.77,23.73,22.54,24.96,127.04
Diotorin ES,104518,34.46,26.38,26.35,24.38,24.12,135.69
Diteki ES,104519,33.79,34.26,32.37,31.88,29.51,161.81
Ditumabo ES,104520,26.12,32.01,27.61,29.34,24.55,139.62
Kalapnit ES,104521,20.0,21.5,14.5,15.5,16.0,87.5
Kamalatan ES,104522,25.43,23.5,20.93,21.0,17.71,108.57
L. Pimentel ES,104523,30.52,31.83,34.31,27.9,30.38,154.93
Nonong Sr. ES,104524,31.17,33.43,33.19,25.68,33.26,156.72
R. Tangson ES,104525,25.86,26.43,24.29,18.86,23.57,119.0
Real ES,104526,30.23,30.47,25.4,22.73,26.5,135.33
San Isidro ES,104527,37.21,34.45,26.48,27.27,28.64,154.06
San Luis CS,104528,35.14,33.86,34.49,32.17,32.45,168.11
Zarah ES,104529,31.77,36.23,29.77,33.48,31.84,163.1
Esperanza ES,157501,31.83,38.17,33.17,31.0,25.67,159.83
Tanawan ES,157503,32.05,29.33,28.29,27.33,29.48,146.48
Sto. Tomas ES,157505,28.9,30.4,29.4,27.1,27.3,143.1
Ramada ES,157506,30.04,30.96,28.21,18.67,28.92,136.79
"C,J. Torre ES",157507,35.89,36.44,31.0,29.78,21.11,154.22
Paraiso ES,157508,21.8,18.0,15.8,21.8,21.4,98.8
Hacienda ES,157511,26.59,29.53,21.88,22.71,33.06,133.76
Bagong Silang ES,104551,33.46,32.36,29.72,32.23,30.88,158.65
Balanga ES,104552,30.36,31.06,28.17,28.24,27.87,145.71
Bo Central ES,104554,35.06,37.36,35.92,38.5,35.69,182.53
Cabog-Cabog ES,104555,36.67,37.6,37.5,32.36,35.4,179.52
Cataning ES,104556,30.27,34.18,31.63,31.16,31.41,158.65
Cupang ES,104557,33.84,33.99,32.57,33.05,30.85,164.31
E Bernabe ES,104559,31.12,30.79,30.09,29.44,31.12,152.56
GL David Mem ES,104560,34.65,37.65,36.15,31.37,20.31,160.13
M delos Reyes MES,104561,32.17,34.52,29.79,26.02,26.78,149.29
MP Cuaderno Sr MES,104563,37.61,35.42,34.77,29.71,31.13,168.65
Our Lady of Lourdes ES,104564,31.65,33.37,32.7,32.28,27.98,157.98
Camacho Sr ES,104565,33.64,34.96,33.73,31.3,19.5,153.14
Tanato ES,104566,26.5,35.39,32.72,35.22,35.94,165.78
Tenejero ES,104567,32.99,31.43,30.05,32.76,32.61,159.85
Tortugas ES,104568,36.66,32.49,35.22,38.32,33.54,176.22
Tuyo ES,104569,35.76,36.55,35.16,31.74,31.36,170.58
Abucay North ES,104530,34.12,34.07,32.58,32.75,32.59,166.1
Bangkal ES,104531,38.6,38.25,36.0,37.4,38.35,188.6
Capitangan ES,104532,32.36,35.64,32.78,30.71,31.51,163.0
Hacienda ES,104533,35.7,33.4,28.9,31.4,33.0,162.4
Kabukiran ES,104534,34.86,36.93,37.36,36.5,34.43,180.07
Mabatang ES,104535,35.31,36.98,36.33,35.77,36.75,181.13
